sample_index,candidate_id,description,true_concept,matched_predicted_concept,eot_token_index,effective_token_length,cosine_similarity_to_true_class_mean,cosine_similarity_to_predicted_class_mean,true_minus_predicted_similarity
23,round1__codex_diverse__bear__human_interaction__09,A steady backcountry wanderer unhurriedly follows that familiar empty trail during compact barrier along pale workshop.,bear,dog,24,25,0.18448223401175035,0.07467845895417574,0.1098037750575746
41,round1__codex_diverse__bear__sounds__05,A restless mountain roamer breaks restlessly silence using recognizable low grunts around clear smaller youngster across tranquil courtyard.,bear,fox,23,24,0.13163738716773948,-0.05315022524538795,0.18478761241312744
43,round2__codex_diverse__bear__sounds__06,A restless towering honey-seeker confidently makes this focused loud roar through subtle dense woodland amid tranquil kitchen.,bear,fox,22,23,0.24503569189382884,0.04948925524109833,0.19554643665273053
42,round1__codex_diverse__bear__sounds__11,A patient backcountry wanderer breaks steadfastly silence using muted bawling notes through natural smaller youngster beyond amber valley.,bear,fox,25,26,0.1678011349386478,-0.05355892158147659,0.2213600565201244
24,round1__codex_diverse__bear__human_interaction__16,A graceful shaggy forager rhythmically approaches one striking ranger's observation during bright cover before grassy valley.,bear,fox,22,23,0.27351683658857345,0.05092711393657561,0.22258972265199783
35,round1__codex_diverse__bear__object_relationship__05,A calm timberland giant interacts energetically with a textured log opened beside prominent curved claws past russet copse.,bear,fox,26,27,0.3806208763373113,0.13885396527716073,0.24176691106015055
44,round3__codex_diverse__bear__sounds__01,A cautious bulky streamside-fisher tentatively releases graceful low grunts beside distinct dense woodland under muted barn.,bear,fox,24,25,0.3049378537496452,0.056239273817898706,0.24869857993174652
39,round2__codex_diverse__bear__object_relationship__02,A calm broad-muzzled river-hunter moves acutely around a focused log opened beneath subtle broad paws past tranquil pasture.,bear,fox,27,28,0.28357010336905764,0.025249317665581632,0.258320785703476
3,round2__codex_diverse__bear__behavior_habits__08,A quiet towering honey-seeker curiously investigates quiet loose logs beside recognizable seasonal feeding against grassy bank.,bear,fox,21,22,0.3181600979804225,0.044229017764955095,0.2739310802154674
40,round1__codex_diverse__bear__sounds__01,A restless backcountry wanderer prudently makes a soft warning rumble in dense woodland during quiet dense woodland inside crisp balcony.,bear,fox,25,26,0.14081130531120162,-0.13364798158506588,0.27445928689626753
27,round1__codex_diverse__bear__indirect_holistic__12,A cautious cave sleeper cautiously forms a striking forest presence beside bright silver movement against rainy hillside.,bear,fox,21,22,0.3680152143552133,0.07227500814539939,0.2957402062098139
26,round1__codex_diverse__bear__indirect_holistic__09,A cautious timberland giant persistently embodies this active solitary forager beside focused climbing under dusky orchard.,bear,fox,23,24,0.3971733386937666,0.08716470975242534,0.31000862894134124
17,round1__codex_diverse__bear__habitat_scene__14,A curious mountain roamer forages swiftly around that delicate woodland trail within steady broad tracks near frosted hallway.,bear,fox,23,24,0.28223925284769297,-0.02985193926483215,0.3120911921125251
29,round2__codex_diverse__bear__indirect_holistic__05,An intent long-clawed wilderness-resident leisurely forms the clear giant waiting for silver movement across strong silver movement around sunlit stream.,bear,fox,30,31,0.3101255759877436,-0.05001881212214023,0.3601443881098838
16,round1__codex_diverse__bear__habitat_scene__12,A curious berry gatherer moves patiently through that muted woodland trail near natural migrating fish inside sunlit trailhead.,bear,fox,24,25,0.40526840456210766,0.0421495200588511,0.3631188845032566
19,round1__codex_diverse__bear__habitat_scene__19,A wary river hunter forages discreetly around the textured river crowded near prominent broad tracks against cool courtyard.,bear,fox,23,24,0.2573468938336718,-0.14698657541178678,0.4043334692454586
4,round3__codex_diverse__bear__behavior_habits__04,A calm towering honey-seeker waits smoothly beside graceful loose logs during distinct fishing period beyond dappled meadow.,bear,fox,22,23,0.49122166705980497,0.0811990473555585,0.41002261970424647
14,round3__codex_diverse__bear__function_ability__12,An active round-eared timberland-giant deliberately demonstrates bright strong digging through nearby body weight near muted cabin.,bear,fox,23,24,0.35730450340994646,-0.053619464378031806,0.41092396778797824
36,round1__codex_diverse__bear__object_relationship__06,A calm river hunter reaches acutely toward prominent river stones beneath sharp forceful scratching past tranquil foothill.,bear,fox,23,24,0.3714299418296824,-0.06461747062581169,0.4360474124554941
10,round1__codex_diverse__bear__function_ability__10,A lively timberland giant restrainedly performs nearby climbing force despite substantial body weight along textured sheltered den amid remote barn.,bear,fox,26,27,0.3712146028675286,-0.08298016776732153,0.45419477063485014
18,round1__codex_diverse__bear__habitat_scene__18,A wary timberland giant emerges knowingly across this clear clearing surrounded among strong fallen logs past golden campsite.,bear,fox,22,23,0.4963952639985408,0.026666030856886323,0.46972923314165443
34,round1__codex_diverse__bear__movement__16,A watchful backcountry wanderer climbs energetically past balanced forest ground through defined climbing strength against muted brook.,bear,fox,24,25,0.39695966612471223,-0.07969766139646546,0.4766573275211777
37,round1__codex_diverse__bear__object_relationship__09,A calm berry gatherer reaches silently toward a recognizable log opened around clear forceful scratching beyond speckled stairway.,bear,fox,25,26,0.33671342780182006,-0.1467921656592775,0.48350559346109756
46,round1__codex_diverse__bear__visual_appearance__08,A measured mountain roamer patiently carries quiet massive shoulders alongside recognizable curved limbs amid shadowed outcrop.,bear,fox,21,22,0.41191482353307984,-0.10067048639627878,0.5125853099293586
74,round2__codex_diverse__cat__human_interaction__25,A focused long-tailed household-companion stays acutely beside quiet nearby footsteps beside recognizable upright tail against grassy fence.,cat,dog,25,26,0.14953501364246724,0.173981743571005,-0.024446729928537747
81,round2__codex_diverse__cat__movement__02,A patient pointed-eared lap-companion gently approaches a muted narrow ledge using natural stalking posture past blue gate.,cat,dog,23,24,0.17070538670436625,0.17505474637809446,-0.004349359673728209
53,round2__codex_diverse__cat__behavior_habits__12,A steady long-tailed household-companion returns comfortably toward one balanced cardboard surface after defined repeated scratching amid cool kitchen.,cat,dog,24,25,0.23476537426174712,0.1597599522065144,0.07500542205523272
72,round2__codex_diverse__cat__human_interaction__05,An observant long-tailed household-companion accepts prudently attention from a recognizable offered hand around clear between rooms under rainy riverbank.,cat,dog,28,29,0.20729168305423945,0.1056155598716769,0.10167612318256256
87,round1__codex_diverse__cat__object_relationship__11,A vigilant striped shadow reaches watchfully toward active curtain folds beside focused body before silver trailhead.,cat,bear,20,21,0.177621543889276,0.07178496939381904,0.10583657449545697
50,round1__codex_diverse__cat__behavior_habits__05,A wary room explorer waits quietly beside a nearby warm patch after textured grooming strokes beyond dusky stairway.,cat,bear,21,22,0.13763270174973286,-0.025232394373262954,0.16286509612299582
70,fox_movement_cat_human__codex_diverse_r4__cat__human_interaction__05,Padded paws knead a blanket while the compact household pet rests beside its owner.,cat,bear,17,18,0.15775841261824455,-0.16915263848243692,0.32691105110068147
135,round1__codex_diverse__dog__object_relationship__03,A poised ball chaser rests persistently against a delicate tennis ball near steady loose soil past silver stream.,dog,bear,21,22,0.1708115595636387,0.11192878213952029,0.058882777424118404
146,round1__codex_diverse__dog__visual_appearance__11,A steady household companion cautiously reveals one compact broad chest around visible folded ears amid remote bridge.,dog,bear,21,22,0.14870525634220713,-0.06049405510078058,0.2091993114429877
106,round1__codex_diverse__dog__body_parts__12,A lively trail helper slowly turns focused floppy ears beside subtle visible teeth against quiet clearing.,dog,bear,18,19,0.23804743638401618,8.059711843979266e-05,0.23796683926557638
120,round1__codex_diverse__dog__human_interaction__04,An active backyard digger confidently follows the soft handler's gesture around quiet pace around wooden hallway.,dog,bear,20,21,0.26878831180190815,0.03041506452567419,0.23837324727623396
126,round1__codex_diverse__dog__indirect_holistic__13,A watchful ball chaser acutely embodies that muted home companion across natural watchfulness beside grassy slope.,dog,bear,23,24,0.2627049559585941,0.015934681359349973,0.24677027459924414
110,round1__codex_diverse__dog__function_ability__10,An eager ball chaser discreetly performs striking herding pressure along bright command before speckled snowbank.,dog,bear,23,24,0.24059376120551088,-0.03229733050085942,0.27289109170637027
130,round1__codex_diverse__dog__movement__09,An intent ball chaser leisurely circles visible open grass with soft tail movement beyond cloudy lane.,dog,bear,20,21,0.2767648378786476,-0.0615744352706271,0.3383392731492747
137,round1__codex_diverse__dog__object_relationship__17,An attentive backyard digger interacts restlessly with that visible buried toy near soft jaws along cool trail.,dog,bear,22,23,0.32399615856807373,-0.025429046774765082,0.34942520534283883
108,round2__codex_diverse__dog__body_parts__20,A calm wagging household-companion silently turns soft padded paws alongside quiet visible teeth beyond dusky meadow.,dog,bear,22,23,0.3269748829578982,-0.2489660694511291,0.5759409524090273
150,round1__codex_diverse__fox__behavior_habits__10,A vigilant nighttime forager waits carefully beside familiar small prey through compact soil amid shadowed riverbank.,fox,bear,21,22,0.22943707363611104,0.2702104939294933,-0.04077342029338227
174,round2__codex_diverse__fox__human_interaction__06,A quiet narrow-muzzled dusk-prowler stays knowingly beside striking discarded food before bright cautious pause before shadowed trailhead.,fox,dog,28,29,0.03419085571552583,0.062492455666859285,-0.028301599951333453
178,round2__codex_diverse__fox__indirect_holistic__13,A wary bushy-tailed den-visitor warily creates that strong twilight figure around graceful forest amid dim kitchen.,fox,bear,24,25,0.25106514375086153,0.1805639137563251,0.07050122999453642
151,round1__codex_diverse__fox__behavior_habits__21,A measured den visitor waits patiently beside recognizable spare food around clear soil past crisp gate.,fox,bear,18,19,0.09455268442723791,0.01457520432636818,0.07997748010086973
156,round1__codex_diverse__fox__body_parts__01,A focused woodland hunter swiftly extends a steady tail tip beside striking dense brush along breezy orchard.,fox,bear,20,21,0.2591360641554957,0.16439849975591642,0.09473756439957931
172,fox_human_retry__codex_diverse_r5__fox__human_interaction__20,A close white-chested copper prowler fills the clearing ahead of a miniature backpacker.,fox,bear,20,21,0.18250211584858228,0.07676922236195907,0.10573289348662321
161,fox_function_ability__codex_diverse_r3__fox__function_ability__15,An alert copper woodland animal digs a hidden food cache using small black paws.,fox,bear,16,17,0.10744529538951549,-0.015631459731964885,0.12307675512148036
170,fox_human_retry__codex_diverse_r5__fox__human_interaction__01,Close-up red-furred woodland animal with white-tipped bushy tail watches a tiny distant photographer.,fox,bear,23,24,0.21737642354074213,0.06211893823658493,0.1552574853041572
195,round1__codex_diverse__fox__visual_appearance__14,A swift forest shadow watchfully displays natural rust-colored fur beside balanced lower legs around crisp foothill.,fox,bear,22,23,0.21699235165508238,0.04821990018957663,0.16877245146550574
175,round1__codex_diverse__fox__indirect_holistic__03,A curious nighttime forager silently embodies the striking cautious hunter around bright open ground under cool yard.,fox,bear,21,22,0.25179995515975706,0.08290773239936997,0.1688922227603871
173,round2__codex_diverse__fox__human_interaction__03,A watchful amber-eyed meadow-prowler smoothly follows the quiet edge around recognizable flee before rocky trailhead.,fox,bear,24,25,0.33643497095602926,0.14160693636282448,0.19482803459320477
158,round2__codex_diverse__fox__body_parts__11,A gentle red-coated woodland-hunter warily turns delicate fine whiskers above steady dark nose under quiet outcrop.,fox,bear,25,26,0.29336540511718656,0.09338395173337952,0.19998145338380705
163,fox_function_ability__codex_diverse_r3__fox__function_ability__29,"Balanced by a sweeping bushy tail, the slim rusty animal lands accurately between rocks.",fox,bear,18,19,0.2316036616972999,0.005716749460279082,0.22588691223702081
162,fox_function_ability__codex_diverse_r3__fox__function_ability__17,Triangular ears swivel independently to track tiny rustles around the russet creature's burrow.,fox,bear,20,21,0.20058527050694702,-0.03297833161341229,0.23356360212035931
155,dog_indirect_fox_body__codex_diverse_r6__fox__body_parts__15,"The slender red animal combines pointed facial features, black socks, and a snowy tail tip.",fox,bear,19,20,0.20203338470429014,-0.06616244879630129,0.2681958335005914
180,fox_movement_cat_human__codex_diverse_r4__fox__movement__09,Rusty fur flashes among birch trunks as a long-tailed dusk hunter runs downhill.,fox,bear,17,18,0.3690539126348781,0.09554199287438038,0.2735119197604977
157,round1__codex_diverse__fox__body_parts__05,A focused field stalker solidly raises a balanced tail tip around defined springing limbs along amber path.,fox,bear,21,22,0.25883790562050446,-0.029419287669995086,0.28825719329049954
160,fox_function_ability__codex_diverse_r3__fox__function_ability__10,Four dark feet propel a white-chested russet animal over stones as nearby leaves barely tremble.,fox,bear,22,23,0.3550259112067407,0.04874288887343923,0.30628302233330146
171,fox_human_retry__codex_diverse_r5__fox__human_interaction__12,"Front and center, a red-coated prowler curls its white-ended tail near distant boots.",fox,bear,21,22,0.15627666870589363,-0.15499238510776236,0.311269053813656
182,round2__codex_diverse__fox__movement__02,A gentle bushy-tailed den-visitor quietly crosses the distinct meadow using muted hidden movement near dusky garden.,fox,bear,24,25,0.3953293466030203,0.049587150679312283,0.34574219592370803
159,round2__codex_diverse__fox__body_parts__16,A gentle russet snowline-hunter discreetly raises active light paws near focused springing limbs across sunlit fence.,fox,bear,26,27,0.25387301102593574,-0.09859498897866402,0.35246800000459977
196,round1__codex_diverse__fox__visual_appearance__15,A swift field stalker nimbly shows steady rust-colored fur beneath striking white chest past verdant stream.,fox,bear,23,24,0.3629479125124917,-0.0014117809694291043,0.3643596934819208
197,round1__codex_diverse__fox__visual_appearance__17,A swift nighttime forager steadfastly carries this soft coat broken alongside quiet full tail along russet hedge.,fox,bear,23,24,0.41392747868100255,0.0442754122825638,0.36965206639843873
181,fox_movement_cat_human__codex_diverse_r4__fox__movement__12,The sharp-eared red hunter lands front paws first after vaulting above meadow grass.,fox,bear,18,19,0.3376914506170715,-0.0889683066786106,0.4266597572956821
