candidate_id,concept,facet_id,description,stage1_status,generated_seed_count,expected_seed_count,target_top1_count,mean_target_score,mean_target_margin,low_confidence_count,confident_wrong_count,automatic_decision,automatic_reason
slot_01__bear__r01__c001,bear,coat_color_texture,Shaggy dark fur suited to cold woodland defines a broad-muzzled river hunter.,reject,1,3,0,0.12677836418151855,-0.7345905303955078,0,1,reject,stage1_reject
slot_01__bear__r01__c002,bear,coat_color_texture,A heavy-pawed mountain roamer carries dense brown fur with lighter guard hairs.,pass,3,3,2,0.6381516456604004,0.3849084973335266,0,1,rejected,high_confidence_wrong_class
slot_01__bear__r02__c083,bear,coat_color_texture,A powerful berry gatherer has shaggy dark fur suited to cold woodland.,pass,3,3,2,0.5883012115955353,0.1795273299018542,0,1,rejected,high_confidence_wrong_class
slot_01__bear__r02__c084,bear,coat_color_texture,Dense brown fur with lighter guard hairs defines a towering honey seeker.,reject,1,3,0,0.3044365346431732,-0.36853572726249695,0,1,reject,stage1_reject
slot_01__bear__r03__c161,bear,coat_color_texture,Dense brown fur with lighter guard hairs marks a long-clawed cave sleeper.,pass,3,3,2,0.5496106644471487,0.23158162087202072,0,1,rejected,high_confidence_wrong_class
slot_01__bear__r03__c162,bear,coat_color_texture,A powerful berry gatherer reveals thick cinnamon-colored hair across the torso.,pass,3,3,2,0.5578374763329824,0.2914874528845151,1,0,borderline,ambiguous_or_below_margin
slot_01__bear__r04__c241,bear,coat_color_texture,A powerful berry gatherer has a heavy black coat covering broad shoulders.,reject,1,3,0,0.1857730597257614,-0.5886136442422867,0,1,reject,stage1_reject
slot_01__bear__r04__c242,bear,coat_color_texture,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,pass,3,3,3,0.7711033523082733,0.5944720146556696,0,0,accepted,meets_all_automatic_thresholds
slot_01__bear__r04__c243,bear,coat_color_texture,A bulky streamside fisher carries dense brown fur with lighter guard hairs.,pass,3,3,3,0.8605323433876038,0.7343864833431629,0,0,accepted,meets_all_automatic_thresholds
slot_01__bear__r04__c246,bear,coat_color_texture,A heavy black coat covering broad shoulders identifies a massive shaggy forager.,pass,3,3,3,0.892974317073822,0.8020171510676543,0,0,accepted,meets_all_automatic_thresholds
slot_01__cat__r01__c001,cat,coat_color_texture,A retractable-clawed mouser reveals a warm orange coat with white patches.,pass,3,3,3,0.954020619392395,0.9225652553141117,0,0,accepted,meets_all_automatic_thresholds
slot_01__cat__r01__c002,cat,coat_color_texture,Soft striped fur with a pale chest identifies a slit-eyed room hunter.,pass,3,3,3,0.9498718579610189,0.9159299622600278,0,0,accepted,meets_all_automatic_thresholds
slot_01__dog__r01__c001,dog,coat_color_texture,A shaggy gray coat around the shoulders marks a wet-nosed trail helper.,pass,3,3,3,0.8507444659868876,0.7053351067006588,0,0,accepted,meets_all_automatic_thresholds
slot_01__dog__r01__c002,dog,coat_color_texture,A panting ball retriever reveals a short golden coat with a pale chest.,pass,3,3,3,0.9949227571487427,0.9915245409744481,0,0,accepted,meets_all_automatic_thresholds
slot_01__fox__r01__c002,fox,coat_color_texture,Rust-colored fur above a clean white chest marks a black-legged forest hunter.,reject,1,3,0,0.024059943854808807,-0.9485179856419563,0,1,reject,stage1_reject
slot_01__fox__r01__c003,fox,coat_color_texture,A sharp-eared field stalker reveals dense copper hair blending into autumn leaves.,pass,3,3,2,0.6461715251207352,0.30090776458382607,0,1,rejected,high_confidence_wrong_class
slot_01__fox__r02__c082,fox,coat_color_texture,A sharp-eared field stalker has a red-orange coat with dark lower markings.,reject,1,3,0,0.3523634970188141,-0.2545402944087982,0,1,reject,stage1_reject
slot_01__fox__r02__c083,fox,coat_color_texture,Warm russet fur beneath a pale throat defines a russet snowline hunter.,pass,3,3,3,0.8382760286331177,0.7007766605044404,0,0,accepted,meets_all_automatic_thresholds
slot_02__bear__r01__c002,bear,coat_color_texture,A heavy black coat covering broad shoulders identifies a towering honey seeker.,pass,3,3,3,0.8866714040438334,0.8244320518958071,0,0,accepted,meets_all_automatic_thresholds
slot_02__bear__r01__c003,bear,coat_color_texture,A bulky streamside fisher shows shaggy dark fur suited to cold woodland.,pass,3,3,3,0.8063120643297831,0.6282913461327553,0,0,accepted,meets_all_automatic_thresholds
slot_02__cat__r01__c002,cat,coat_color_texture,A long-whiskered home companion has a smooth black coat reflecting window light.,pass,3,3,3,0.9255067507425944,0.8694979857342938,0,0,accepted,meets_all_automatic_thresholds
slot_02__cat__r01__c003,cat,coat_color_texture,A warm orange coat with white patches defines a soft-pawed indoor hunter.,reject,1,3,0,0.011459068395197392,-0.7627720674499869,0,1,reject,stage1_reject
slot_02__dog__r01__c001,dog,coat_color_texture,A floppy-eared home guardian shows white spotted hair across a sturdy back.,pass,3,3,3,0.9937476714452108,0.9904809598034868,0,0,accepted,meets_all_automatic_thresholds
slot_02__dog__r01__c003,dog,coat_color_texture,A broad-pawed walking partner has a shaggy gray coat around the shoulders.,pass,3,3,3,0.979181170463562,0.9615996875800192,0,0,accepted,meets_all_automatic_thresholds
slot_02__fox__r01__c005,fox,coat_color_texture,Dense copper hair blending into autumn leaves defines a slender twilight forager.,pass,3,3,3,0.5670190652211508,0.31378787259260815,0,0,accepted,meets_all_automatic_thresholds
slot_02__fox__r01__c007,fox,coat_color_texture,A red-orange coat with dark lower markings marks a white-tipped brush bearer.,reject,1,3,0,0.18780846893787384,-0.3180852383375168,0,1,reject,stage1_reject
slot_03__bear__r01__c001,bear,coat_color_texture,"Within low evening light, bulky streamside-fisher demonstrates dense brown fur with lighter guard hairs.",pass,3,3,2,0.651371051867803,0.35117065409819287,0,1,rejected,high_confidence_wrong_class
slot_03__bear__r01__c002,bear,coat_color_texture,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,pass,3,3,3,0.9352763891220093,0.8908929576476415,0,0,accepted,meets_all_automatic_thresholds
