sample_index,candidate_id,description,true_concept,matched_predicted_concept,eot_token_index,effective_token_length,cosine_similarity_to_true_class_mean,cosine_similarity_to_predicted_class_mean,true_minus_predicted_similarity
41,round1__codex_diverse__bear__sounds__05,A restless mountain roamer breaks restlessly silence using recognizable low grunts around clear smaller youngster across tranquil courtyard.,bear,fox,23,24,0.662460413653742,0.6274374327645671,0.03502298088917488
43,round2__codex_diverse__bear__sounds__06,A restless towering honey-seeker confidently makes this focused loud roar through subtle dense woodland amid tranquil kitchen.,bear,fox,22,23,0.6883405626404553,0.6451525113386615,0.04318805130179382
42,round1__codex_diverse__bear__sounds__11,A patient backcountry wanderer breaks steadfastly silence using muted bawling notes through natural smaller youngster beyond amber valley.,bear,fox,25,26,0.6395532262091372,0.590262517114915,0.049290709094222285
40,round1__codex_diverse__bear__sounds__01,A restless backcountry wanderer prudently makes a soft warning rumble in dense woodland during quiet dense woodland inside crisp balcony.,bear,fox,25,26,0.6841663761261032,0.6295087662518517,0.0546576098742515
24,round1__codex_diverse__bear__human_interaction__16,A graceful shaggy forager rhythmically approaches one striking ranger's observation during bright cover before grassy valley.,bear,fox,22,23,0.6430389595926695,0.5845665035020191,0.05847245609065044
39,round2__codex_diverse__bear__object_relationship__02,A calm broad-muzzled river-hunter moves acutely around a focused log opened beneath subtle broad paws past tranquil pasture.,bear,fox,27,28,0.682992399982828,0.6201010870303363,0.06289131295249173
44,round3__codex_diverse__bear__sounds__01,A cautious bulky streamside-fisher tentatively releases graceful low grunts beside distinct dense woodland under muted barn.,bear,fox,24,25,0.6824605626651499,0.619543200274645,0.06291736239050483
35,round1__codex_diverse__bear__object_relationship__05,A calm timberland giant interacts energetically with a textured log opened beside prominent curved claws past russet copse.,bear,fox,26,27,0.6943521720012116,0.6275663114099982,0.06678586059121339
3,round2__codex_diverse__bear__behavior_habits__08,A quiet towering honey-seeker curiously investigates quiet loose logs beside recognizable seasonal feeding against grassy bank.,bear,fox,21,22,0.7081602802470801,0.6390376852695459,0.06912259497753426
17,round1__codex_diverse__bear__habitat_scene__14,A curious mountain roamer forages swiftly around that delicate woodland trail within steady broad tracks near frosted hallway.,bear,fox,23,24,0.709505378500608,0.6376635224837127,0.0718418560168953
27,round1__codex_diverse__bear__indirect_holistic__12,A cautious cave sleeper cautiously forms a striking forest presence beside bright silver movement against rainy hillside.,bear,fox,21,22,0.6540224218962356,0.5705721436684276,0.08345027822780804
26,round1__codex_diverse__bear__indirect_holistic__09,A cautious timberland giant persistently embodies this active solitary forager beside focused climbing under dusky orchard.,bear,fox,23,24,0.7014952887264494,0.6149493519595399,0.08654593676690947
29,round2__codex_diverse__bear__indirect_holistic__05,An intent long-clawed wilderness-resident leisurely forms the clear giant waiting for silver movement across strong silver movement around sunlit stream.,bear,fox,30,31,0.6664219742212932,0.572422523954455,0.0939994502668382
19,round1__codex_diverse__bear__habitat_scene__19,A wary river hunter forages discreetly around the textured river crowded near prominent broad tracks against cool courtyard.,bear,fox,23,24,0.6602534745030675,0.5612020297072524,0.09905144479581507
16,round1__codex_diverse__bear__habitat_scene__12,A curious berry gatherer moves patiently through that muted woodland trail near natural migrating fish inside sunlit trailhead.,bear,fox,24,25,0.6861770876446818,0.5861953468954121,0.09998174074926969
4,round3__codex_diverse__bear__behavior_habits__04,A calm towering honey-seeker waits smoothly beside graceful loose logs during distinct fishing period beyond dappled meadow.,bear,fox,22,23,0.7588728910197283,0.6460846826007871,0.11278820841894122
36,round1__codex_diverse__bear__object_relationship__06,A calm river hunter reaches acutely toward prominent river stones beneath sharp forceful scratching past tranquil foothill.,bear,fox,23,24,0.7000174619557846,0.5871295316055049,0.11288793035027977
14,round3__codex_diverse__bear__function_ability__12,An active round-eared timberland-giant deliberately demonstrates bright strong digging through nearby body weight near muted cabin.,bear,fox,23,24,0.6710411206908542,0.5580881502219711,0.11295297046888308
34,round1__codex_diverse__bear__movement__16,A watchful backcountry wanderer climbs energetically past balanced forest ground through defined climbing strength against muted brook.,bear,fox,24,25,0.7547116097254566,0.639304050898938,0.11540755882651854
37,round1__codex_diverse__bear__object_relationship__09,A calm berry gatherer reaches silently toward a recognizable log opened around clear forceful scratching beyond speckled stairway.,bear,fox,25,26,0.7015108177092918,0.577824188571131,0.12368662913816075
10,round1__codex_diverse__bear__function_ability__10,A lively timberland giant restrainedly performs nearby climbing force despite substantial body weight along textured sheltered den amid remote barn.,bear,fox,26,27,0.6325257508938937,0.5012122852561057,0.131313465637788
18,round1__codex_diverse__bear__habitat_scene__18,A wary timberland giant emerges knowingly across this clear clearing surrounded among strong fallen logs past golden campsite.,bear,fox,22,23,0.7031841966217991,0.5647970335050201,0.138387163116779
46,round1__codex_diverse__bear__visual_appearance__08,A measured mountain roamer patiently carries quiet massive shoulders alongside recognizable curved limbs amid shadowed outcrop.,bear,fox,21,22,0.6890962388693663,0.5487700555077422,0.14032618336162417
74,round2__codex_diverse__cat__human_interaction__25,A focused long-tailed household-companion stays acutely beside quiet nearby footsteps beside recognizable upright tail against grassy fence.,cat,dog,25,26,0.6706859451831251,0.6758053467142262,-0.005119401531101131
81,round2__codex_diverse__cat__movement__02,A patient pointed-eared lap-companion gently approaches a muted narrow ledge using natural stalking posture past blue gate.,cat,dog,23,24,0.6791264861328513,0.6783430724913264,0.0007834136415248993
53,round2__codex_diverse__cat__behavior_habits__12,A steady long-tailed household-companion returns comfortably toward one balanced cardboard surface after defined repeated scratching amid cool kitchen.,cat,dog,24,25,0.6255668543202982,0.5959013434528728,0.029665510867425415
72,round2__codex_diverse__cat__human_interaction__05,An observant long-tailed household-companion accepts prudently attention from a recognizable offered hand around clear between rooms under rainy riverbank.,cat,dog,28,29,0.6424185989525881,0.6060033280336294,0.036415270918958687
93,round2__codex_diverse__cat__sounds__21,A calm long-tailed household-companion energetically produces that sharp rising trill around active flattened ears under blue deck.,cat,dog,26,27,0.6166062644536758,0.566547572452607,0.05005869200106883
70,fox_movement_cat_human__codex_diverse_r4__cat__human_interaction__05,Padded paws knead a blanket while the compact household pet rests beside its owner.,cat,dog,17,18,0.4693575780754708,0.41341662660979545,0.05594095146567535
50,round1__codex_diverse__cat__behavior_habits__05,A wary room explorer waits quietly beside a nearby warm patch after textured grooming strokes beyond dusky stairway.,cat,bear,21,22,0.5594514259796209,0.49662397523644913,0.06282745074317181
83,round2__codex_diverse__cat__movement__16,A curious padded-paw windowsill-watcher intently approaches this recognizable floor along clear stalking posture beside amber thicket.,cat,fox,26,27,0.6897913638224589,0.6175694229929924,0.07222194082946642
67,round2__codex_diverse__cat__habitat_scene__06,An intent long-tailed household-companion discreetly occupies the textured quiet kitchen among prominent indoor plants inside breezy stairway.,cat,dog,26,27,0.6259638029711749,0.5477642799543849,0.07819952301679
136,round1__codex_diverse__dog__object_relationship__11,An attentive trail helper rests rhythmically against one textured food bowl against prominent loose soil along frosted farmyard.,dog,fox,25,26,0.6072666003950954,0.5829958233109096,0.02427077708418579
135,round1__codex_diverse__dog__object_relationship__03,A poised ball chaser rests persistently against a delicate tennis ball near steady loose soil past silver stream.,dog,bear,21,22,0.5212095278381937,0.4936252133422431,0.027584314495950668
118,round3__codex_diverse__dog__habitat_scene__05,A quiet broad-pawed gate-watcher curiously occupies that balanced field suited to running and retrieval within defined retrieval under russet riverbank.,dog,fox,33,34,0.6507677838127206,0.6082281895702065,0.04253959424251408
150,round1__codex_diverse__fox__behavior_habits__10,A vigilant nighttime forager waits carefully beside familiar small prey through compact soil amid shadowed riverbank.,fox,bear,21,22,0.5840780416253121,0.5936667436892864,-0.00958870206397433
171,fox_human_retry__codex_diverse_r5__fox__human_interaction__12,"Front and center, a red-coated prowler curls its white-ended tail near distant boots.",fox,cat,21,22,0.47610709164692666,0.4552839481520358,0.02082314349489084
178,round2__codex_diverse__fox__indirect_holistic__13,A wary bushy-tailed den-visitor warily creates that strong twilight figure around graceful forest amid dim kitchen.,fox,bear,24,25,0.6478780801767848,0.6199648713719943,0.027913208804790535
156,round1__codex_diverse__fox__body_parts__01,A focused woodland hunter swiftly extends a steady tail tip beside striking dense brush along breezy orchard.,fox,bear,20,21,0.7123297778286889,0.6800747570435406,0.0322550207851483
151,round1__codex_diverse__fox__behavior_habits__21,A measured den visitor waits patiently beside recognizable spare food around clear soil past crisp gate.,fox,bear,18,19,0.5353891350687507,0.49350661188137107,0.04188252318737967
172,fox_human_retry__codex_diverse_r5__fox__human_interaction__20,A close white-chested copper prowler fills the clearing ahead of a miniature backpacker.,fox,bear,20,21,0.5755445576191054,0.5299826872710014,0.045561870348103994
173,round2__codex_diverse__fox__human_interaction__03,A watchful amber-eyed meadow-prowler smoothly follows the quiet edge around recognizable flee before rocky trailhead.,fox,bear,24,25,0.7184462388548896,0.6634621674723986,0.05498407138249095
175,round1__codex_diverse__fox__indirect_holistic__03,A curious nighttime forager silently embodies the striking cautious hunter around bright open ground under cool yard.,fox,bear,21,22,0.628399103519288,0.5681076992955314,0.06029140422375656
161,fox_function_ability__codex_diverse_r3__fox__function_ability__15,An alert copper woodland animal digs a hidden food cache using small black paws.,fox,bear,16,17,0.537775566008549,0.4770752227303333,0.06070034327821572
