variant,group,role,concept,sample_index,prompt,seed,seed_source,image_path,prediction,correct
constant_mean,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/golden_retriever/0000.png,labrador retriever,0
constant_mean,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/golden_retriever/0001.png,cocker spaniel,0
constant_mean,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/labrador_retriever/0000.png,french bulldog,0
constant_mean,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/labrador_retriever/0001.png,canoe,0
constant_mean,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/german_shepherd/0000.png,german shepherd,1
constant_mean,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/german_shepherd/0001.png,german shepherd,1
constant_mean,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
constant_mean,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/chesapeake_bay_retriever/0001.png,vizsla,0
constant_mean,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/pug/0000.png,pug,1
constant_mean,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/constant_mean/images/pug/0001.png,pillow,0
identity_B,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/golden_retriever/0000.png,labrador retriever,0
identity_B,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/golden_retriever/0001.png,cocker spaniel,0
