representation,sample_index,candidate_id,slot_id,true_concept,predicted_cluster,matched_predicted_concept,facet,length_bin,generation_round,effective_token_length,description
eot,0,slot_01__cat__r01__c001,slot_01,cat,7,cat,coat_color_texture,short,round_1,19,A retractable-clawed mouser reveals a warm orange coat with white patches.
eot,1,slot_01__dog__r01__c002,slot_01,dog,1,dog,coat_color_texture,short,round_1,17,A panting ball retriever reveals a short golden coat with a pale chest.
eot,2,slot_01__fox__r02__c083,slot_01,fox,3,rabbit,coat_color_texture,short,round_1,18,Warm russet fur beneath a pale throat defines a russet snowline hunter.
eot,3,slot_01__bear__r04__c242,slot_01,bear,2,bear,coat_color_texture,short,round_1,15,Shaggy dark fur suited to cold woodland defines a towering honey seeker.
eot,4,slot_01__wolf__r01__c002,slot_01,wolf,4,wolf,coat_color_texture,short,round_1,18,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.
eot,5,slot_01__rabbit__r12__c881,slot_01,rabbit,3,rabbit,coat_color_texture,short,round_1,18,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.
eot,6,slot_01__deer__r07__c483,slot_01,deer,0,deer,coat_color_texture,short,round_1,17,An antlered browser shows a spotted chestnut coat blending with leaf litter.
eot,7,slot_01__horse__r01__c002,slot_01,horse,5,horse,coat_color_texture,short,round_1,18,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.
eot,8,slot_02__cat__r01__c002,slot_02,cat,7,cat,coat_color_texture,short,round_2,18,A long-whiskered home companion has a smooth black coat reflecting window light.
eot,9,slot_02__dog__r01__c001,slot_02,dog,7,cat,coat_color_texture,short,round_2,17,A floppy-eared home guardian shows white spotted hair across a sturdy back.
eot,10,slot_02__fox__r01__c005,slot_02,fox,3,rabbit,coat_color_texture,short,round_2,16,Dense copper hair blending into autumn leaves defines a slender twilight forager.
eot,11,slot_02__bear__r01__c002,slot_02,bear,2,bear,coat_color_texture,short,round_2,15,A heavy black coat covering broad shoulders identifies a towering honey seeker.
eot,12,slot_02__wolf__r01__c002,slot_02,wolf,4,wolf,coat_color_texture,short,round_2,19,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.
eot,13,slot_02__rabbit__r12__c882,slot_02,rabbit,3,rabbit,coat_color_texture,short,round_2,18,A finely detailed garden nibbler shows smooth tan hair above a pale belly.
eot,14,slot_02__deer__r02__c081,slot_02,deer,0,deer,coat_color_texture,short,round_2,18,A branch-antlered visitor shows a smooth reddish-brown summer coat.
