sample_index,description_id,true_concept,description,k,same_concept_neighbors,purity,random_balanced_label_baseline
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,5,3,0.6,0.12280701754385964
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,5,4,0.8,0.12280701754385964
2,slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,5,5,1.0,0.12280701754385964
3,slot_01__bear__r04__c242,bear,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,5,5,1.0,0.12280701754385964
4,slot_01__wolf__r01__c002,wolf,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,5,5,1.0,0.12280701754385964
5,slot_01__rabbit__r12__c881,rabbit,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,5,3,0.6,0.12280701754385964
6,slot_01__deer__r07__c483,deer,An antlered browser shows a spotted chestnut coat blending with leaf litter.,5,5,1.0,0.12280701754385964
7,slot_01__horse__r01__c002,horse,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,5,5,1.0,0.12280701754385964
8,slot_02__cat__r01__c002,cat,A long-whiskered home companion has a smooth black coat reflecting window light.,5,5,1.0,0.12280701754385964
9,slot_02__dog__r01__c001,dog,A floppy-eared home guardian shows white spotted hair across a sturdy back.,5,5,1.0,0.12280701754385964
10,slot_02__fox__r01__c005,fox,Dense copper hair blending into autumn leaves defines a slender twilight forager.,5,4,0.8,0.12280701754385964
11,slot_02__bear__r01__c002,bear,A heavy black coat covering broad shoulders identifies a towering honey seeker.,5,5,1.0,0.12280701754385964
12,slot_02__wolf__r01__c002,wolf,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,5,5,1.0,0.12280701754385964
13,slot_02__rabbit__r12__c882,rabbit,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,5,5,1.0,0.12280701754385964
14,slot_02__deer__r02__c081,deer,A branch-antlered visitor shows a smooth reddish-brown summer coat.,5,5,1.0,0.12280701754385964
15,slot_02__horse__r01__c002,horse,Smooth black hair with a white facial blaze defines a bridled stable companion.,5,5,1.0,0.12280701754385964
16,slot_03__cat__r05__c322,cat,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",5,5,1.0,0.12280701754385964
17,slot_03__dog__r02__c082,dog,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",5,2,0.4,0.12280701754385964
18,slot_03__fox__r02__c082,fox,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,5,4,0.8,0.12280701754385964
19,slot_03__bear__r01__c002,bear,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,5,3,0.6,0.12280701754385964
20,slot_03__wolf__r04__c242,wolf,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.,5,5,1.0,0.12280701754385964
21,slot_03__rabbit__r02__c082,rabbit,"Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail.",5,5,1.0,0.12280701754385964
22,slot_03__deer__r01__c003,deer,Antlered woodland browser displays dark brown hair along a lighter throat patch beside a shaded woodland edge.,5,5,1.0,0.12280701754385964
23,slot_03__horse__r01__c004,horse,Broad-chested stable resident displays smooth black hair with a white facial blaze beside a patch of dense brush.,5,4,0.8,0.12280701754385964
24,slot_04__cat__r02__c082,cat,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level.",5,2,0.4,0.12280701754385964
25,slot_04__dog__r01__c002,dog,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.",5,2,0.4,0.12280701754385964
26,slot_04__fox__r01__c002,fox,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior.",5,4,0.8,0.12280701754385964
27,slot_04__bear__r01__c001,bear,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level.",5,5,1.0,0.12280701754385964
28,slot_04__wolf__r01__c001,wolf,"Against an open grassy clearing, dense silver-brown fur suited to winter defines long-legged forest tracker; ground contact stays clear.",5,0,0.0,0.12280701754385964
29,slot_04__rabbit__r04__c245,rabbit,"Beside a shaded woodland edge, small hopping burrow forager reveals smooth tan hair above a pale belly; the setting supports the behavior.",5,3,0.6,0.12280701754385964
