representation,sample_index,candidate_id,true_concept,predicted_cluster,matched_predicted_concept,facet_id,source,round,effective_token_length,description
raw,0,round1__codex_diverse__bear__behavior_habits__06,bear,3,bear,behavior_habits,codex_diverse,round1,21,A quiet cave sleeper returns responsively toward the familiar sheltered cave around compact insects before dim valley.
raw,1,round1__codex_diverse__bear__behavior_habits__17,bear,3,bear,behavior_habits,codex_diverse,round1,26,A nimble berry gatherer returns attentively toward prominent tree bark through sharp insects beside narrow hedgerow.
raw,2,round1__codex_diverse__bear__behavior_habits__19,bear,3,bear,behavior_habits,codex_diverse,round1,23,A nimble mountain roamer returns methodically toward steady loose logs after striking insects along copper bridge.
raw,3,round2__codex_diverse__bear__behavior_habits__08,bear,1,fox,behavior_habits,codex_diverse,round2,22,A quiet towering honey-seeker curiously investigates quiet loose logs beside recognizable seasonal feeding against grassy bank.
raw,4,round3__codex_diverse__bear__behavior_habits__04,bear,1,fox,behavior_habits,codex_diverse,round3,23,A calm towering honey-seeker waits smoothly beside graceful loose logs during distinct fishing period beyond dappled meadow.
raw,5,bear_body_parts__codex_diverse_r3__bear__body_parts__01,bear,3,bear,body_parts,codex_diverse,bear_body_parts,19,Rounded ears rise above a broad dark muzzle on a massive shaggy woodland forager.
raw,6,bear_body_parts__codex_diverse_r3__bear__body_parts__10,bear,3,bear,body_parts,codex_diverse,bear_body_parts,21,Broad padded feet carry a hulking brown forest dweller with long claws and dense underfur.
raw,7,round1__codex_diverse__bear__body_parts__06,bear,3,bear,body_parts,codex_diverse,round1,24,A poised honey seeker attentively uses active powerful shoulders beside focused massive torso before speckled plaza.
raw,8,round1__codex_diverse__bear__body_parts__11,bear,3,bear,body_parts,codex_diverse,round1,23,An attentive timberland giant readily raises soft round ears beside quiet facial fur against dappled clearing.
raw,9,round1__codex_diverse__bear__body_parts__15,bear,3,bear,body_parts,codex_diverse,round1,24,An attentive berry gatherer dexterously uses visible long claws alongside soft massive torso beyond silver stairway.
raw,10,round1__codex_diverse__bear__function_ability__10,bear,1,fox,function_ability,codex_diverse,round1,27,A lively timberland giant restrainedly performs nearby climbing force despite substantial body weight along textured sheltered den amid remote barn.
raw,11,round1__codex_diverse__bear__function_ability__11,bear,3,bear,function_ability,codex_diverse,round1,21,A lively river hunter steadfastly performs defined strong digging during delicate sheltered den along copper orchard.
raw,12,round1__codex_diverse__bear__function_ability__12,bear,3,bear,function_ability,codex_diverse,round1,21,A lively backcountry wanderer carefully uses clear strong digging around strong compact soil near blue hallway.
raw,13,round1__codex_diverse__bear__function_ability__19,bear,3,bear,function_ability,codex_diverse,round1,22,A solitary streamside fisher precisely shows delicate scent detection through steady forest area along pale hedgerow.
raw,14,round3__codex_diverse__bear__function_ability__12,bear,1,fox,function_ability,codex_diverse,round3,24,An active round-eared timberland-giant deliberately demonstrates bright strong digging through nearby body weight near muted cabin.
