condition,record_type,original_description,embedding_prompt,token_ids,decoded_tokens,selected_token_id,selected_token,selected_token_position,token_count_with_special_tokens,model_max_length,truncation_occurred
fixed_suffix,description,A retractable-clawed mouser reveals a warm orange coat with white patches.,A retractable-clawed mouser reveals a warm orange coat with white patches. This sentence describes the concept,"[49406, 320, 32735, 2175, 268, 940, 3478, 24837, 528, 6621, 320, 3616, 4287, 7356, 593, 1579, 22104, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""retrac"", ""table</w>"", ""-</w>"", ""cla"", ""wed</w>"", ""mous"", ""er</w>"", ""reveals</w>"", ""a</w>"", ""warm</w>"", ""orange</w>"", ""coat</w>"", ""with</w>"", ""white</w>"", ""patches</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,22,24,77,False
fixed_suffix,description,A panting ball retriever reveals a short golden coat with a pale chest.,A panting ball retriever reveals a short golden coat with a pale chest. This sentence describes the concept,"[49406, 320, 1072, 694, 1069, 28394, 6621, 320, 3005, 3878, 7356, 593, 320, 12518, 10563, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""pan"", ""ting</w>"", ""ball</w>"", ""retriever</w>"", ""reveals</w>"", ""a</w>"", ""short</w>"", ""golden</w>"", ""coat</w>"", ""with</w>"", ""a</w>"", ""pale</w>"", ""chest</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
fixed_suffix,description,Warm russet fur beneath a pale throat defines a russet snowline hunter.,Warm russet fur beneath a pale throat defines a russet snowline hunter. This sentence describes the concept,"[49406, 3616, 35811, 1167, 9686, 16850, 320, 12518, 16371, 28218, 320, 35811, 1167, 3880, 1148, 6099, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""warm</w>"", ""rus"", ""set</w>"", ""fur</w>"", ""beneath</w>"", ""a</w>"", ""pale</w>"", ""throat</w>"", ""defines</w>"", ""a</w>"", ""rus"", ""set</w>"", ""snow"", ""line</w>"", ""hunter</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,Shaggy dark fur suited to cold woodland defines a towering honey seeker. This sentence describes the concept,"[49406, 42662, 3144, 9686, 25919, 531, 3153, 17447, 28218, 320, 39444, 6406, 28011, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""shaggy</w>"", ""dark</w>"", ""fur</w>"", ""suited</w>"", ""to</w>"", ""cold</w>"", ""woodland</w>"", ""defines</w>"", ""a</w>"", ""towering</w>"", ""honey</w>"", ""seeker</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,18,20,77,False
fixed_suffix,description,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker. This sentence describes the concept,"[49406, 320, 28520, 7048, 7356, 593, 12518, 4901, 27951, 28218, 320, 8157, 268, 9127, 2583, 18123, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""layered</w>"", ""gray</w>"", ""coat</w>"", ""with</w>"", ""pale</w>"", ""guard</w>"", ""hairs</w>"", ""defines</w>"", ""a</w>"", ""sharp</w>"", ""-</w>"", ""eared</w>"", ""snow</w>"", ""tracker</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil. This sentence describes the concept,"[49406, 320, 34958, 4350, 17195, 782, 3716, 2665, 320, 3616, 21834, 7356, 34307, 1095, 17195, 9216, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""softly</w>"", ""lit</w>"", ""meadow</w>"", ""gra"", ""zer</w>"", ""shows</w>"", ""a</w>"", ""warm</w>"", ""chestnut</w>"", ""coat</w>"", ""blending</w>"", ""into</w>"", ""meadow</w>"", ""soil</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,An antlered browser shows a spotted chestnut coat blending with leaf litter.,An antlered browser shows a spotted chestnut coat blending with leaf litter. This sentence describes the concept,"[49406, 550, 1103, 534, 736, 19768, 2665, 320, 4533, 21834, 7356, 34307, 593, 7232, 17118, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""an</w>"", ""ant"", ""le"", ""red</w>"", ""browser</w>"", ""shows</w>"", ""a</w>"", ""spotted</w>"", ""chestnut</w>"", ""coat</w>"", ""blending</w>"", ""with</w>"", ""leaf</w>"", ""litter</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
fixed_suffix,description,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane. This sentence describes the concept,"[49406, 320, 20283, 268, 10874, 4921, 14963, 2665, 320, 29802, 21834, 7356, 16850, 320, 3144, 16044, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""saddle</w>"", ""-</w>"", ""trained</w>"", ""trail</w>"", ""companion</w>"", ""shows</w>"", ""a</w>"", ""glossy</w>"", ""chestnut</w>"", ""coat</w>"", ""beneath</w>"", ""a</w>"", ""dark</w>"", ""mane</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,A long-whiskered home companion has a smooth black coat reflecting window light.,A long-whiskered home companion has a smooth black coat reflecting window light. This sentence describes the concept,"[49406, 320, 1538, 268, 6024, 26690, 1137, 14963, 791, 320, 8990, 1449, 7356, 19700, 4879, 1395, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""long</w>"", ""-</w>"", ""whis"", ""kered</w>"", ""home</w>"", ""companion</w>"", ""has</w>"", ""a</w>"", ""smooth</w>"", ""black</w>"", ""coat</w>"", ""reflecting</w>"", ""window</w>"", ""light</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,A floppy-eared home guardian shows white spotted hair across a sturdy back.,A floppy-eared home guardian shows white spotted hair across a sturdy back. This sentence describes the concept,"[49406, 320, 38267, 268, 9127, 1137, 9498, 2665, 1579, 4533, 2225, 2500, 320, 43780, 893, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""floppy</w>"", ""-</w>"", ""eared</w>"", ""home</w>"", ""guardian</w>"", ""shows</w>"", ""white</w>"", ""spotted</w>"", ""hair</w>"", ""across</w>"", ""a</w>"", ""sturdy</w>"", ""back</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
