representation,sample_index,candidate_id,slot_id,true_concept,predicted_cluster,matched_predicted_concept,facet,length_bin,generation_round,effective_token_length,description
fixed_suffix,0,slot_01__cat__r01__c001,slot_01,cat,0,cat,coat_color_texture,short,round_1,19,A retractable-clawed mouser reveals a warm orange coat with white patches.
fixed_suffix,1,slot_01__dog__r01__c002,slot_01,dog,7,dog,coat_color_texture,short,round_1,17,A panting ball retriever reveals a short golden coat with a pale chest.
fixed_suffix,2,slot_01__fox__r02__c083,slot_01,fox,1,fox,coat_color_texture,short,round_1,18,Warm russet fur beneath a pale throat defines a russet snowline hunter.
fixed_suffix,3,slot_01__bear__r04__c242,slot_01,bear,3,bear,coat_color_texture,short,round_1,15,Shaggy dark fur suited to cold woodland defines a towering honey seeker.
fixed_suffix,4,slot_01__wolf__r01__c002,slot_01,wolf,5,wolf,coat_color_texture,short,round_1,18,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.
fixed_suffix,5,slot_01__rabbit__r12__c881,slot_01,rabbit,6,rabbit,coat_color_texture,short,round_1,18,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.
fixed_suffix,6,slot_01__deer__r07__c483,slot_01,deer,2,deer,coat_color_texture,short,round_1,17,An antlered browser shows a spotted chestnut coat blending with leaf litter.
fixed_suffix,7,slot_01__horse__r01__c002,slot_01,horse,4,horse,coat_color_texture,short,round_1,18,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.
fixed_suffix,8,slot_02__cat__r01__c002,slot_02,cat,0,cat,coat_color_texture,short,round_2,18,A long-whiskered home companion has a smooth black coat reflecting window light.
fixed_suffix,9,slot_02__dog__r01__c001,slot_02,dog,7,dog,coat_color_texture,short,round_2,17,A floppy-eared home guardian shows white spotted hair across a sturdy back.
fixed_suffix,10,slot_02__fox__r01__c005,slot_02,fox,2,deer,coat_color_texture,short,round_2,16,Dense copper hair blending into autumn leaves defines a slender twilight forager.
fixed_suffix,11,slot_02__bear__r01__c002,slot_02,bear,3,bear,coat_color_texture,short,round_2,15,A heavy black coat covering broad shoulders identifies a towering honey seeker.
fixed_suffix,12,slot_02__wolf__r01__c002,slot_02,wolf,5,wolf,coat_color_texture,short,round_2,19,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.
fixed_suffix,13,slot_02__rabbit__r12__c882,slot_02,rabbit,6,rabbit,coat_color_texture,short,round_2,18,A finely detailed garden nibbler shows smooth tan hair above a pale belly.
fixed_suffix,14,slot_02__deer__r02__c081,slot_02,deer,2,deer,coat_color_texture,short,round_2,18,A branch-antlered visitor shows a smooth reddish-brown summer coat.
fixed_suffix,15,slot_02__horse__r01__c002,slot_02,horse,4,horse,coat_color_texture,short,round_2,17,Smooth black hair with a white facial blaze defines a bridled stable companion.
fixed_suffix,16,slot_03__cat__r05__c322,slot_03,cat,0,cat,coat_color_texture,medium,round_3,21,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light."
fixed_suffix,17,slot_03__dog__r02__c082,slot_03,dog,7,dog,coat_color_texture,medium,round_3,23,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders."
fixed_suffix,18,slot_03__fox__r02__c082,slot_03,fox,3,bear,coat_color_texture,medium,round_3,22,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.
fixed_suffix,19,slot_03__bear__r01__c002,slot_03,bear,2,deer,coat_color_texture,medium,round_3,26,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.
fixed_suffix,20,slot_03__wolf__r04__c242,slot_03,wolf,5,wolf,coat_color_texture,medium,round_3,23,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.
fixed_suffix,21,slot_03__rabbit__r02__c082,slot_03,rabbit,6,rabbit,coat_color_texture,medium,round_3,26,"Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail."
fixed_suffix,22,slot_03__deer__r01__c003,slot_03,deer,2,deer,coat_color_texture,medium,round_3,22,Antlered woodland browser displays dark brown hair along a lighter throat patch beside a shaded woodland edge.
fixed_suffix,23,slot_03__horse__r01__c004,slot_03,horse,6,rabbit,coat_color_texture,medium,round_3,24,Broad-chested stable resident displays smooth black hair with a white facial blaze beside a patch of dense brush.
fixed_suffix,24,slot_04__cat__r02__c082,slot_04,cat,0,cat,coat_color_texture,long,round_4,29,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level."
fixed_suffix,25,slot_04__dog__r01__c002,slot_04,dog,5,wolf,coat_color_texture,long,round_4,28,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear."
fixed_suffix,26,slot_04__fox__r01__c002,slot_04,fox,6,rabbit,coat_color_texture,long,round_4,29,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior."
fixed_suffix,27,slot_04__bear__r01__c001,slot_04,bear,3,bear,coat_color_texture,long,round_4,30,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level."
fixed_suffix,28,slot_04__wolf__r01__c001,slot_04,wolf,5,wolf,coat_color_texture,long,round_4,28,"Against an open grassy clearing, dense silver-brown fur suited to winter defines long-legged forest tracker; ground contact stays clear."
fixed_suffix,29,slot_04__rabbit__r04__c245,slot_04,rabbit,6,rabbit,coat_color_texture,long,round_4,29,"Beside a shaded woodland edge, small hopping burrow forager reveals smooth tan hair above a pale belly; the setting supports the behavior."
fixed_suffix,30,slot_04__deer__r01__c001,slot_04,deer,5,wolf,coat_color_texture,long,round_4,31,"Within a misty hillside, slender-legged forest grazer demonstrates coarse gray winter hair above a pale rump, where its full body stays visible."
fixed_suffix,31,slot_04__horse__r03__c161,slot_04,horse,6,rabbit,coat_color_texture,long,round_4,31,"Warm bay coloring above dark lower legs distinguishes single-hoofed riding companion near a patch of dense brush, where soft light preserves surface detail."
fixed_suffix,32,slot_05__cat__r01__c001,slot_05,cat,5,wolf,coat_color_texture,long,round_5,31,"Short gray hair patterned by faint bands distinguishes retractable-clawed climber near a patch of dense brush, where the setting supports the behavior."
fixed_suffix,33,slot_05__dog__r01__c002,slot_05,dog,7,dog,coat_color_texture,long,round_5,31,"White spotted hair across a sturdy back distinguishes broad-pawed gate-watcher near a pale winter field, where the background preserves its outline."
fixed_suffix,34,slot_05__fox__r02__c083,slot_05,fox,2,deer,coat_color_texture,long,round_5,29,"A clear view shows bushy-tailed den-visitor with dense copper hair blending into autumn leaves, as the moment appears unstaged."
fixed_suffix,35,slot_05__bear__r01__c001,slot_05,bear,3,bear,coat_color_texture,long,round_5,30,"A clear view shows thick-furred cave-sleeper with thick cinnamon-colored hair across the torso, as surrounding plants provide scale."
fixed_suffix,36,slot_05__wolf__r02__c082,slot_05,wolf,5,wolf,coat_color_texture,long,round_5,32,"Deep-chested roaming predator carries a layered gray coat with pale guard hairs across a rocky meadow; meanwhile, the head and torso remain visible."
fixed_suffix,37,slot_05__rabbit__r04__c243,slot_05,rabbit,6,rabbit,coat_color_texture,long,round_5,28,"Long-eared grassland nibbler becomes recognizable through a warm chestnut coat blending into meadow soil, while ground contact stays clear."
