run_id,n_neighbors,random_state,primary,sample_index,description_id,true_concept,description,raw_cluster_id,hungarian_matched_predicted_concept,prediction_correct,cluster_mapping_concept
spectral_knn05_seed42,5,42,False,0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,0,cat,True,cat
spectral_knn05_seed42,5,42,False,1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,4,dog,True,dog
spectral_knn05_seed42,5,42,False,2,slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,6,fox,True,fox
spectral_knn05_seed42,5,42,False,3,slot_01__bear__r04__c242,bear,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,3,bear,True,bear
spectral_knn05_seed42,5,42,False,4,slot_01__wolf__r01__c002,wolf,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,1,wolf,True,wolf
spectral_knn05_seed42,5,42,False,5,slot_01__rabbit__r12__c881,rabbit,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,7,rabbit,True,rabbit
spectral_knn05_seed42,5,42,False,6,slot_01__deer__r07__c483,deer,An antlered browser shows a spotted chestnut coat blending with leaf litter.,5,deer,True,deer
spectral_knn05_seed42,5,42,False,7,slot_01__horse__r01__c002,horse,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,2,horse,True,horse
spectral_knn05_seed42,5,42,False,8,slot_02__cat__r01__c002,cat,A long-whiskered home companion has a smooth black coat reflecting window light.,0,cat,True,cat
spectral_knn05_seed42,5,42,False,9,slot_02__dog__r01__c001,dog,A floppy-eared home guardian shows white spotted hair across a sturdy back.,4,dog,True,dog
spectral_knn05_seed42,5,42,False,10,slot_02__fox__r01__c005,fox,Dense copper hair blending into autumn leaves defines a slender twilight forager.,5,deer,False,deer
spectral_knn05_seed42,5,42,False,11,slot_02__bear__r01__c002,bear,A heavy black coat covering broad shoulders identifies a towering honey seeker.,3,bear,True,bear
spectral_knn05_seed42,5,42,False,12,slot_02__wolf__r01__c002,wolf,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,1,wolf,True,wolf
spectral_knn05_seed42,5,42,False,13,slot_02__rabbit__r12__c882,rabbit,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,7,rabbit,True,rabbit
spectral_knn05_seed42,5,42,False,14,slot_02__deer__r02__c081,deer,A branch-antlered visitor shows a smooth reddish-brown summer coat.,5,deer,True,deer
spectral_knn05_seed42,5,42,False,15,slot_02__horse__r01__c002,horse,Smooth black hair with a white facial blaze defines a bridled stable companion.,2,horse,True,horse
spectral_knn05_seed42,5,42,False,16,slot_03__cat__r05__c322,cat,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",0,cat,True,cat
spectral_knn05_seed42,5,42,False,17,slot_03__dog__r02__c082,dog,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",1,wolf,False,wolf
spectral_knn05_seed42,5,42,False,18,slot_03__fox__r02__c082,fox,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,3,bear,False,bear
spectral_knn05_seed42,5,42,False,19,slot_03__bear__r01__c002,bear,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,3,bear,True,bear
spectral_knn05_seed42,5,42,False,20,slot_03__wolf__r04__c242,wolf,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.,1,wolf,True,wolf
