description_id,true_concept,description,layer_index,layer_name,cat_before,cat_after,dog_before,dog_after,delta_cat,delta_dog,intended_direction
slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.12080840766429901,0.11521441489458084,0.22294652462005615,0.25971776247024536,-0.00559399276971817,0.03677123785018921,True
slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.02212340012192726,0.19981420040130615,0.18386715650558472,0.3025647699832916,0.1776908040046692,0.11869761347770691,False
slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.1691160947084427,0.020066462457180023,0.21522969007492065,0.13902875781059265,-0.14904963970184326,-0.076200932264328,False
slot_01__bear__r04__c242,bear,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.05185690149664879,0.15270952880382538,0.17539475858211517,0.2214459627866745,0.10085262358188629,0.046051204204559326,False
slot_01__wolf__r01__c002,wolf,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.056709323078393936,0.16435763239860535,0.20412500202655792,0.27726227045059204,0.10764831304550171,0.07313726842403412,False
slot_01__rabbit__r12__c881,rabbit,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,-0.0196499302983284,0.08867716789245605,0.03298104181885719,0.08346422761678696,0.10832709819078445,0.050483185797929764,False
slot_01__deer__r07__c483,deer,An antlered browser shows a spotted chestnut coat blending with leaf litter.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.08049382269382477,0.08415931463241577,0.15288212895393372,0.16967502236366272,0.0036654919385910034,0.016792893409729004,False
slot_01__horse__r01__c002,horse,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.09038376808166504,0.20397989451885223,0.25099509954452515,0.3231182396411896,0.1135961264371872,0.07212314009666443,False
slot_02__cat__r01__c002,cat,A long-whiskered home companion has a smooth black coat reflecting window light.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.11881226301193237,0.12862533330917358,0.22817710041999817,0.24297267198562622,0.009813070297241211,0.014795571565628052,False
slot_02__dog__r01__c001,dog,A floppy-eared home guardian shows white spotted hair across a sturdy back.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.04980311542749405,0.1592291295528412,0.19166047871112823,0.28110548853874207,0.10942601412534714,0.08944500982761383,False
slot_02__fox__r01__c005,fox,Dense copper hair blending into autumn leaves defines a slender twilight forager.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.15849962830543518,0.04991312325000763,0.21307912468910217,0.1511208862066269,-0.10858650505542755,-0.06195823848247528,False
slot_02__bear__r01__c002,bear,A heavy black coat covering broad shoulders identifies a towering honey seeker.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.08948123455047607,0.082093246281147,0.15540003776550293,0.15030640363693237,-0.007387988269329071,-0.005093634128570557,False
slot_02__wolf__r01__c002,wolf,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.06390605866909027,0.06530891358852386,0.1338588148355484,0.14518557488918304,0.0014028549194335938,0.011326760053634644,False
slot_02__rabbit__r12__c882,rabbit,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.025558821856975555,0.14267714321613312,0.12813764810562134,0.1948847621679306,0.11711832135915756,0.06674711406230927,False
slot_02__deer__r02__c081,deer,A branch-antlered visitor shows a smooth reddish-brown summer coat.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.1473793387413025,-0.012323670089244843,0.1675834208726883,0.09982962906360626,-0.15970301628112793,-0.06775379180908203,False
slot_02__horse__r01__c002,horse,Smooth black hair with a white facial blaze defines a bridled stable companion.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.18204286694526672,0.1483740508556366,0.29343271255493164,0.2638632655143738,-0.03366881608963013,-0.02956944704055786,False
slot_03__cat__r05__c322,cat,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.08781670033931732,-0.01993430033326149,0.0921320915222168,0.06093932315707207,-0.10775099694728851,-0.03119276836514473,False
slot_03__dog__r02__c082,dog,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.014644213020801544,0.17689263820648193,0.16510692238807678,0.27711424231529236,0.162248432636261,0.11200731992721558,False
slot_03__fox__r02__c082,fox,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.06179588660597801,0.08553919196128845,0.1439213752746582,0.159784197807312,0.02374330535531044,0.01586282253265381,False
slot_03__bear__r01__c002,bear,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,-0.023893088102340698,0.1313692033290863,0.07742661237716675,0.17461253702640533,0.155262291431427,0.09718592464923859,False
slot_03__wolf__r04__c242,wolf,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.03135267645120621,0.17164625227451324,0.1640857309103012,0.24936866760253906,0.14029356837272644,0.08528293669223785,False
slot_03__rabbit__r02__c082,rabbit,"Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail.",0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,0.05890578404068947,0.0639815703034401,0.1192142516374588,0.12058651447296143,0.005075786262750626,0.0013722628355026245,False
