candidate_id,concept,facet_id,automatic_decision,mean_target_score,mean_target_margin,manual_decision,manual_notes,description
slot_01__deer__r01__c001,deer,coat_color_texture,reject,0.1422092169523239,-0.34218935668468475,unset,,A split-hoofed forest visitor shows a spotted chestnut coat blending with leaf litter.
slot_01__deer__r01__c004,deer,coat_color_texture,reject,0.003870578482747078,-0.991023687645793,unset,,Dark brown hair along a lighter throat patch defines a slender-legged herd grazer.
slot_01__deer__r02__c081,deer,coat_color_texture,reject,0.030543232336640358,-0.9342182632535696,unset,,Dark brown hair along a lighter throat patch marks a split-hoofed grazer.
slot_01__deer__r02__c082,deer,coat_color_texture,reject,0.017399871721863747,-0.9035691972821951,unset,,A forest herd grazer reveals coarse gray winter hair above a pale rump.
slot_01__deer__r03__c161,deer,coat_color_texture,reject,0.03648979589343071,-0.8995712287724018,unset,,A forest herd grazer has a smooth reddish-brown summer coat.
slot_01__deer__r03__c162,deer,coat_color_texture,reject,0.001212407718412578,-0.992841015686281,unset,,Warm tan fur marked by a bright tail underside defines a meadow browser.
slot_01__deer__r04__c241,deer,coat_color_texture,reject,0.030675489455461502,-0.49430201575160027,unset,,Coarse gray winter hair above a pale rump identifies a meadow browser.
slot_01__deer__r04__c242,deer,coat_color_texture,accepted,0.997936487197876,0.9973001859519476,unset,,A branch-antlered visitor shows a spotted chestnut coat blending with leaf litter.
slot_01__deer__r04__c243,deer,coat_color_texture,rejected,0.24911444634199142,-0.3120194499691327,unset,,A smooth reddish-brown summer coat is visible on a clearing grazer.
slot_01__deer__r04__c244,deer,coat_color_texture,reject,0.0013038336765021086,-0.5246961892116815,unset,,A long-legged browser has warm tan fur marked by a bright tail underside.
slot_01__deer__r05__c322,deer,coat_color_texture,borderline,0.17348898947238922,-0.11675240099430084,unset,,Dark brown hair along a lighter throat patch marks a clearing grazer.
slot_01__deer__r05__c323,deer,coat_color_texture,reject,0.04326184466481209,-0.7842772416770458,unset,,A long-legged browser reveals coarse gray winter hair above a pale rump.
slot_01__deer__r05__c324,deer,coat_color_texture,reject,0.22431737184524536,-0.2415640652179718,unset,,A spotted chestnut coat blending with leaf litter identifies a pale-rumped grazer.
slot_01__deer__r05__c325,deer,coat_color_texture,accepted,0.9962871869405111,0.9939711124946674,unset,,An antlered browser shows a smooth reddish-brown summer coat.
slot_01__deer__r06__c401,deer,coat_color_texture,borderline,0.2694907486438751,-0.12485700845718384,unset,,A spotted chestnut coat blending with leaf litter is visible on a clearing grazer.
slot_01__deer__r06__c402,deer,coat_color_texture,reject,0.0017382018268108368,-0.989898968487978,unset,,A long-legged browser has a smooth reddish-brown summer coat.
slot_01__deer__r06__c404,deer,coat_color_texture,accepted,0.9897965391476949,0.9840311120885114,unset,,An antlered browser carries dark brown hair along a lighter throat patch.
slot_01__deer__r06__c405,deer,coat_color_texture,rejected,0.4673615942398707,0.07659878581762314,unset,,Coarse gray winter hair above a pale rump marks a woodland grazer.
slot_01__deer__r07__c481,deer,coat_color_texture,accepted,0.4766820619503657,0.25699046192069847,unset,,A long-legged browser reveals dark brown hair along a lighter throat patch.
slot_01__deer__r07__c483,deer,coat_color_texture,accepted,0.9969409505526224,0.9958083816842797,unset,,An antlered browser shows a spotted chestnut coat blending with leaf litter.
slot_01__deer__r07__c484,deer,coat_color_texture,rejected,0.4776706000169118,0.04204761485258738,unset,,A smooth reddish-brown summer coat is visible on a woodland grazer.
slot_01__deer__r07__c485,deer,coat_color_texture,reject,0.002500025322660804,-0.9905193767044693,unset,,A white-tailed browser has warm tan fur marked by a bright tail underside.
slot_01__horse__r01__c001,horse,coat_color_texture,reject,0.11223972588777542,-0.52055274695158,unset,,Warm bay coloring above dark lower legs identifies a flowing-tailed field grazer.
slot_01__horse__r01__c002,horse,coat_color_texture,accepted,0.9984784324963888,0.9976538798849409,unset,,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.
slot_01__rabbit__r01__c003,rabbit,coat_color_texture,reject,0.008841460570693016,-0.9709649626165628,unset,,Smooth tan hair above a pale belly defines a velvet-eared grass grazer.
slot_01__rabbit__r01__c004,rabbit,coat_color_texture,borderline,0.013157387264072895,-0.3328061504289508,unset,,A quick-footed burrow resident carries a warm chestnut coat blending into meadow soil.
slot_01__rabbit__r02__c081,rabbit,coat_color_texture,borderline,0.06714320182800293,-0.3353627026081085,unset,,A meadow grazer reveals a warm chestnut coat blending into meadow soil.
slot_01__rabbit__r02__c083,rabbit,coat_color_texture,reject,0.03633014112710953,-0.5844559296965599,unset,,A hind-legged browser shows velvety gray fur around a bright white tail.
slot_01__rabbit__r03__c162,rabbit,coat_color_texture,reject,0.023119250312447548,-0.7460286822170019,unset,,A hind-legged browser carries smooth tan hair above a pale belly.
slot_01__rabbit__r03__c163,rabbit,coat_color_texture,borderline,0.3739538888136546,0.2012555996576945,unset,,A warm chestnut coat blending into meadow soil marks a clover grazer.
slot_01__rabbit__r04__c241,rabbit,coat_color_texture,reject,0.0011517461389303207,-0.6605341974645853,unset,,A hind-legged browser shows a dense white winter coat with gray ear tips.
slot_01__rabbit__r04__c242,rabbit,coat_color_texture,reject,0.0532267764210701,-0.8684922382235527,unset,,Velvety gray fur around a bright white tail is visible on a clover grazer.
slot_01__rabbit__r04__c243,rabbit,coat_color_texture,reject,0.25932860374450684,-0.3571506142616272,unset,,A garden nibbler has soft brown fur mottled like dry grass.
slot_01__rabbit__r04__c244,rabbit,coat_color_texture,reject,0.018264060840010643,-0.5406895224004984,unset,,Smooth tan hair above a pale belly defines a velvet-eared browser.
slot_01__rabbit__r05__c321,rabbit,coat_color_texture,reject,0.016690894961357117,-0.749623253941536,unset,,Smooth tan hair above a pale belly marks a clover grazer.
slot_01__rabbit__r05__c322,rabbit,coat_color_texture,reject,0.0729316994547844,-0.7709944918751717,unset,,A garden nibbler reveals a warm chestnut coat blending into meadow soil.
slot_01__rabbit__r05__c323,rabbit,coat_color_texture,reject,0.0034030729439109564,-0.748039478668943,unset,,A dense white winter coat with gray ear tips identifies a velvet-eared browser.
slot_01__rabbit__r05__c324,rabbit,coat_color_texture,reject,0.05951434001326561,-0.8089851178228855,unset,,A burrow resident shows velvety gray fur around a bright white tail.
slot_01__rabbit__r06__c401,rabbit,coat_color_texture,reject,0.05239563807845116,-0.4155529774725437,unset,,A garden nibbler has velvety gray fur around a bright white tail.
slot_01__rabbit__r06__c402,rabbit,coat_color_texture,reject,0.008225561119616032,-0.5585449924692512,unset,,Soft brown fur mottled like dry grass defines a velvet-eared browser.
slot_01__rabbit__r06__c403,rabbit,coat_color_texture,borderline,0.22454245388507843,0.04875500500202179,unset,,A burrow resident carries smooth tan hair above a pale belly.
slot_01__rabbit__r06__c404,rabbit,coat_color_texture,reject,0.0016899594338610768,-0.8312796464888379,unset,,A warm chestnut coat blending into meadow soil marks a long-eared grazer.
slot_01__rabbit__r07__c481,rabbit,coat_color_texture,reject,0.23999793827533722,-0.4010753482580185,unset,,A warm chestnut coat blending into meadow soil identifies a velvet-eared browser.
slot_01__rabbit__r07__c482,rabbit,coat_color_texture,reject,0.0020396460313349962,-0.5216437231283635,unset,,A burrow resident shows a dense white winter coat with gray ear tips.
slot_01__rabbit__r07__c484,rabbit,coat_color_texture,reject,0.14116913080215454,-0.3576710820198059,unset,,A burrow nibbler has soft brown fur mottled like dry grass.
