sample_index,description_id,description,true_concept,raw_cluster_id,hungarian_matched_predicted_concept,prediction_correct,pc1,pc2,pc3
0,slot_01__cat__r01__c001,A retractable-clawed mouser reveals a warm orange coat with white patches.,cat,7,cat,True,0.24006926,0.11719572,-0.011761884
1,slot_01__dog__r01__c002,A panting ball retriever reveals a short golden coat with a pale chest.,dog,1,dog,True,0.36515126,-0.13443448,-0.053593025
2,slot_01__fox__r02__c083,Warm russet fur beneath a pale throat defines a russet snowline hunter.,fox,3,rabbit,False,-0.0241688,0.3532034,0.14884047
3,slot_01__bear__r04__c242,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,bear,2,bear,True,-0.08515454,0.17254709,0.23186965
4,slot_01__wolf__r01__c002,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,wolf,4,wolf,True,0.20905119,-0.008051556,-0.0010779684
5,slot_01__rabbit__r12__c881,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,rabbit,3,rabbit,True,-0.13493659,0.027825978,0.09874021
6,slot_01__deer__r07__c483,An antlered browser shows a spotted chestnut coat blending with leaf litter.,deer,0,deer,True,-0.2243295,-0.07818801,0.2314476
7,slot_01__horse__r01__c002,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,horse,5,horse,True,0.15428847,-0.26179633,0.052656956
8,slot_02__cat__r01__c002,A long-whiskered home companion has a smooth black coat reflecting window light.,cat,7,cat,True,0.3756832,0.20863165,-0.028072046
9,slot_02__dog__r01__c001,A floppy-eared home guardian shows white spotted hair across a sturdy back.,dog,7,cat,False,0.3225567,-0.024758201,0.015072541
10,slot_02__fox__r01__c005,Dense copper hair blending into autumn leaves defines a slender twilight forager.,fox,3,rabbit,False,-0.18272924,0.14926796,0.11990088
11,slot_02__bear__r01__c002,A heavy black coat covering broad shoulders identifies a towering honey seeker.,bear,2,bear,True,0.093553476,0.03539493,0.16857822
12,slot_02__wolf__r01__c002,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,wolf,4,wolf,True,0.10144707,-0.018429987,0.03179885
13,slot_02__rabbit__r12__c882,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,rabbit,3,rabbit,True,0.103665926,0.1467224,-0.056432836
14,slot_02__deer__r02__c081,A branch-antlered visitor shows a smooth reddish-brown summer coat.,deer,0,deer,True,-0.12890516,-0.034884613,0.2567427
15,slot_02__horse__r01__c002,Smooth black hair with a white facial blaze defines a bridled stable companion.,horse,5,horse,True,0.27237576,-0.038221207,0.23315178
16,slot_03__cat__r05__c322,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",cat,7,cat,True,0.05084303,0.35118383,-0.10789853
17,slot_03__dog__r02__c082,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",dog,7,cat,False,0.15692648,0.019667434,-0.03916235
18,slot_03__fox__r02__c082,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,fox,2,bear,False,-0.2818805,0.10215306,0.09863006
19,slot_03__bear__r01__c002,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,bear,2,bear,True,-0.20491718,0.041714728,0.0026734273
20,slot_03__wolf__r04__c242,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.,wolf,4,wolf,True,0.030551145,-0.07258006,-0.03157599
21,slot_03__rabbit__r02__c082,"Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail.",rabbit,3,rabbit,True,0.0084415935,0.11352081,0.1443134
22,slot_03__deer__r01__c003,Antlered woodland browser displays dark brown hair along a lighter throat patch beside a shaded woodland edge.,deer,0,deer,True,-0.30133253,0.0360994,0.3108351
23,slot_03__horse__r01__c004,Broad-chested stable resident displays smooth black hair with a white facial blaze beside a patch of dense brush.,horse,5,horse,True,-0.0040965294,-0.17654909,-0.052325647
24,slot_04__cat__r02__c082,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level.",cat,7,cat,True,0.058932997,0.2717887,-0.0076120053
25,slot_04__dog__r01__c002,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.",dog,7,cat,False,0.28035733,-0.040711563,-0.0275315
26,slot_04__fox__r01__c002,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior.",fox,6,fox,True,-0.02797933,0.24248914,-0.2359591
27,slot_04__bear__r01__c001,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level.",bear,2,bear,True,-0.04363504,-0.19908617,-0.10953857
28,slot_04__wolf__r01__c001,"Against an open grassy clearing, dense silver-brown fur suited to winter defines long-legged forest tracker; ground contact stays clear.",wolf,0,deer,False,-0.2446246,0.03449235,-0.06958929
29,slot_04__rabbit__r04__c245,"Beside a shaded woodland edge, small hopping burrow forager reveals smooth tan hair above a pale belly; the setting supports the behavior.",rabbit,3,rabbit,True,-0.30982357,0.14461643,-0.1604317
30,slot_04__deer__r01__c001,"Within a misty hillside, slender-legged forest grazer demonstrates coarse gray winter hair above a pale rump, where its full body stays visible.",deer,0,deer,True,-0.15762796,-0.15913385,-0.029479647
31,slot_04__horse__r03__c161,"Warm bay coloring above dark lower legs distinguishes single-hoofed riding companion near a patch of dense brush, where soft light preserves surface detail.",horse,5,horse,True,0.021290107,-0.2604754,-0.057345923
32,slot_05__cat__r01__c001,"Short gray hair patterned by faint bands distinguishes retractable-clawed climber near a patch of dense brush, where the setting supports the behavior.",cat,3,rabbit,False,-0.06747062,-0.030280367,-0.18825646
33,slot_05__dog__r01__c002,"White spotted hair across a sturdy back distinguishes broad-pawed gate-watcher near a pale winter field, where the background preserves its outline.",dog,6,fox,False,0.078062646,-0.12008917,-0.15709296
34,slot_05__fox__r02__c083,"A clear view shows bushy-tailed den-visitor with dense copper hair blending into autumn leaves, as the moment appears unstaged.",fox,3,rabbit,False,-0.19507578,0.077089824,-0.16654831
35,slot_05__bear__r01__c001,"A clear view shows thick-furred cave-sleeper with thick cinnamon-colored hair across the torso, as surrounding plants provide scale.",bear,2,bear,True,-0.1433797,-0.05779731,-0.15301313
36,slot_05__wolf__r02__c082,"Deep-chested roaming predator carries a layered gray coat with pale guard hairs across a rocky meadow; meanwhile, the head and torso remain visible.",wolf,4,wolf,True,-0.080307014,-0.23698194,-0.16790833
37,slot_05__rabbit__r04__c243,"Long-eared grassland nibbler becomes recognizable through a warm chestnut coat blending into meadow soil, while ground contact stays clear.",rabbit,3,rabbit,True,-0.22447293,-0.028974425,-0.005917719
38,slot_05__deer__r04__c244,"Antlered split-hoofed woodland browser becomes recognizable through coarse gray winter hair above a pale rump, while surrounding plants provide scale.",deer,0,deer,True,-0.35856935,-0.11339126,0.11154829
39,slot_05__horse__r01__c002,"Tall long-faced grazer carries a pale golden coat beside a flowing cream mane across a sunlit garden path; meanwhile, the viewpoint remains level.",horse,5,horse,True,-0.088806905,-0.15594392,-0.030779995
40,slot_06__cat__r01__c002,A striped household mouser reveals pointed ears above bright slit-shaped eyes.,cat,7,cat,True,0.25547418,0.15166251,0.0007404587
41,slot_06__dog__r01__c002,A wet dark nose beneath gently folded ears marks a playful backyard digger.,dog,7,cat,False,0.2581344,0.18302564,0.08563361
42,slot_06__fox__r15__c1123,A sharp-eared orange hunter shows white cheeks and a long narrow snout.,fox,7,cat,False,0.16360933,-0.029418975,0.10372424
43,slot_06__bear__r04__c242,A round-eared forest giant has a wide pale muzzle beneath round listening ears.,bear,7,cat,False,0.06025227,0.017436432,0.2655818
44,slot_06__wolf__r01__c002,A social mountain predator has upright triangular ears above an elongated muzzle.,wolf,7,cat,False,0.13727729,0.16562235,0.22411807
45,slot_06__rabbit__r01__c003,A long-eared ground forager has broad listening ears framing a compact face.,rabbit,3,rabbit,True,0.013095704,0.029838016,0.20647927
46,slot_06__deer__r01__c005,Branching antlers rising over alert dark eyes defines a white-tailed meadow grazer.,deer,0,deer,True,-0.15690367,0.034235813,0.35032666
47,slot_06__horse__r01__c002,A long face beneath mobile upright ears identifies a swift-maned field traveler.,horse,7,cat,False,0.22834007,0.07098862,0.28965092
48,slot_07__cat__r01__c001,A whiskered lap companion shows fine cheek whiskers below independently turning ears.,cat,7,cat,True,0.41516247,0.20706445,0.061403908
49,slot_07__dog__r01__c001,A long scenting muzzle beneath lifted ears identifies a leash-wearing companion.,dog,1,dog,True,0.40020275,0.010705213,0.15556186
50,slot_07__fox__r01__c001,A red-coated dusk hunter reveals fine whiskers surrounding a compact black nose.,fox,7,cat,False,0.18005121,0.13043039,0.010314624
51,slot_07__bear__r05__c325,A sensitive dark nose beyond a heavy face marks a thick-furred woodland giant.,bear,2,bear,True,-0.012932029,0.110562414,0.20287786
52,slot_07__wolf__r02__c082,A forest pack sentinel has a dark nose beyond a pale tapered muzzle.,wolf,4,wolf,True,0.06763032,0.022450874,0.17706685
53,slot_07__rabbit__r05__c324,A garden nibbler has soft cheeks below tall independently turning ears.,rabbit,7,cat,False,0.17030773,0.23688115,0.12060517
54,slot_07__deer__r01__c004,Large rotating ears above a long narrow face marks a large-eared woodland grazer.,deer,0,deer,True,-0.020626077,-0.17997137,0.22758567
