slot_id,slot_index,facet,length_bin,target_token_min,target_token_max,common_semantic_instruction,generation_round,generation_source,generation_model
slot_01,0,coat_color_texture,short,14,19,foreground coat color,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_02,1,coat_color_texture,short,14,19,surface texture in daylight,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_03,2,coat_color_texture,medium,21,26,marking contrast,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_04,3,coat_color_texture,long,28,33,seasonal coat detail,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_05,4,coat_color_texture,long,28,33,coat against natural background,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_06,5,head_face_ears,short,14,19,head profile,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_07,6,head_face_ears,short,14,19,eyes and muzzle,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_08,7,head_face_ears,medium,21,26,ear shape,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_09,8,head_face_ears,long,28,33,facial proportions,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_10,9,head_face_ears,long,28,33,alert expression,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_11,10,limbs_paws_tail,short,14,19,front limbs,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_12,11,limbs_paws_tail,short,14,19,hind-limb structure,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_13,12,limbs_paws_tail,medium,21,26,feet or paws,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_14,13,limbs_paws_tail,long,28,33,tail balance,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_15,14,limbs_paws_tail,long,28,33,limbs during stillness,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_16,15,body_size_shape,short,14,19,overall silhouette,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_17,16,body_size_shape,short,14,19,torso proportions,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_18,17,body_size_shape,medium,21,26,relative scale,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_19,18,body_size_shape,long,28,33,shoulder and back line,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_20,19,body_size_shape,long,28,33,standing body shape,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_21,20,movement,short,14,19,ordinary locomotion,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_22,21,movement,short,14,19,rapid locomotion,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_23,22,movement,medium,21,26,careful movement,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_24,23,movement,long,28,33,turning or balance,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_25,24,movement,long,28,33,movement across uneven ground,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_26,25,behavior_foraging,short,14,19,feeding behavior,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_27,26,behavior_foraging,short,14,19,search strategy,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_28,27,behavior_foraging,medium,21,26,resting habit,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_29,28,behavior_foraging,long,28,33,food handling,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_30,29,behavior_foraging,long,28,33,daily foraging routine,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_31,30,habitat_scene,short,14,19,typical habitat,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_32,31,habitat_scene,short,14,19,shelter and surroundings,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_33,32,habitat_scene,medium,21,26,seasonal setting,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_34,33,habitat_scene,long,28,33,edge habitat,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_35,34,habitat_scene,long,28,33,ground and vegetation,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
