condition,record_type,original_description,embedding_prompt,token_ids,decoded_tokens,selected_token_id,selected_token,selected_token_position,token_count_with_special_tokens,model_max_length,truncation_occurred
fixed_suffix,description,A retractable-clawed mouser reveals a warm orange coat with white patches.,A retractable-clawed mouser reveals a warm orange coat with white patches. This sentence describes the concept,"[49406, 320, 32735, 2175, 268, 940, 3478, 24837, 528, 6621, 320, 3616, 4287, 7356, 593, 1579, 22104, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""retrac"", ""table</w>"", ""-</w>"", ""cla"", ""wed</w>"", ""mous"", ""er</w>"", ""reveals</w>"", ""a</w>"", ""warm</w>"", ""orange</w>"", ""coat</w>"", ""with</w>"", ""white</w>"", ""patches</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,22,24,77,False
fixed_suffix,description,A panting ball retriever reveals a short golden coat with a pale chest.,A panting ball retriever reveals a short golden coat with a pale chest. This sentence describes the concept,"[49406, 320, 1072, 694, 1069, 28394, 6621, 320, 3005, 3878, 7356, 593, 320, 12518, 10563, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""pan"", ""ting</w>"", ""ball</w>"", ""retriever</w>"", ""reveals</w>"", ""a</w>"", ""short</w>"", ""golden</w>"", ""coat</w>"", ""with</w>"", ""a</w>"", ""pale</w>"", ""chest</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
fixed_suffix,description,Warm russet fur beneath a pale throat defines a russet snowline hunter.,Warm russet fur beneath a pale throat defines a russet snowline hunter. This sentence describes the concept,"[49406, 3616, 35811, 1167, 9686, 16850, 320, 12518, 16371, 28218, 320, 35811, 1167, 3880, 1148, 6099, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""warm</w>"", ""rus"", ""set</w>"", ""fur</w>"", ""beneath</w>"", ""a</w>"", ""pale</w>"", ""throat</w>"", ""defines</w>"", ""a</w>"", ""rus"", ""set</w>"", ""snow"", ""line</w>"", ""hunter</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,Shaggy dark fur suited to cold woodland defines a towering honey seeker. This sentence describes the concept,"[49406, 42662, 3144, 9686, 25919, 531, 3153, 17447, 28218, 320, 39444, 6406, 28011, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""shaggy</w>"", ""dark</w>"", ""fur</w>"", ""suited</w>"", ""to</w>"", ""cold</w>"", ""woodland</w>"", ""defines</w>"", ""a</w>"", ""towering</w>"", ""honey</w>"", ""seeker</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,18,20,77,False
fixed_suffix,description,A long-whiskered home companion has a smooth black coat reflecting window light.,A long-whiskered home companion has a smooth black coat reflecting window light. This sentence describes the concept,"[49406, 320, 1538, 268, 6024, 26690, 1137, 14963, 791, 320, 8990, 1449, 7356, 19700, 4879, 1395, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""long</w>"", ""-</w>"", ""whis"", ""kered</w>"", ""home</w>"", ""companion</w>"", ""has</w>"", ""a</w>"", ""smooth</w>"", ""black</w>"", ""coat</w>"", ""reflecting</w>"", ""window</w>"", ""light</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,A floppy-eared home guardian shows white spotted hair across a sturdy back.,A floppy-eared home guardian shows white spotted hair across a sturdy back. This sentence describes the concept,"[49406, 320, 38267, 268, 9127, 1137, 9498, 2665, 1579, 4533, 2225, 2500, 320, 43780, 893, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""floppy</w>"", ""-</w>"", ""eared</w>"", ""home</w>"", ""guardian</w>"", ""shows</w>"", ""white</w>"", ""spotted</w>"", ""hair</w>"", ""across</w>"", ""a</w>"", ""sturdy</w>"", ""back</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
fixed_suffix,description,Dense copper hair blending into autumn leaves defines a slender twilight forager.,Dense copper hair blending into autumn leaves defines a slender twilight forager. This sentence describes the concept,"[49406, 19353, 10333, 2225, 34307, 1095, 6110, 5579, 28218, 320, 40331, 14512, 645, 10443, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""dense</w>"", ""copper</w>"", ""hair</w>"", ""blending</w>"", ""into</w>"", ""autumn</w>"", ""leaves</w>"", ""defines</w>"", ""a</w>"", ""slender</w>"", ""twilight</w>"", ""for"", ""ager</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,19,21,77,False
fixed_suffix,description,A heavy black coat covering broad shoulders identifies a towering honey seeker.,A heavy black coat covering broad shoulders identifies a towering honey seeker. This sentence describes the concept,"[49406, 320, 4200, 1449, 7356, 9462, 12623, 18738, 35712, 320, 39444, 6406, 28011, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""heavy</w>"", ""black</w>"", ""coat</w>"", ""covering</w>"", ""broad</w>"", ""shoulders</w>"", ""identifies</w>"", ""a</w>"", ""towering</w>"", ""honey</w>"", ""seeker</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,18,20,77,False
fixed_suffix,description,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.","Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light. This sentence describes the concept","[49406, 4154, 320, 18799, 37194, 267, 1727, 2540, 1530, 268, 15776, 24806, 320, 8990, 1449, 7356, 19700, 4879, 1395, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""within</w>"", ""a</w>"", ""misty</w>"", ""hillside</w>"", "",</w>"", ""pur"", ""ring</w>"", ""room</w>"", ""-</w>"", ""explorer</w>"", ""demonstrates</w>"", ""a</w>"", ""smooth</w>"", ""black</w>"", ""coat</w>"", ""reflecting</w>"", ""window</w>"", ""light</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,24,26,77,False
fixed_suffix,description,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.","Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders. This sentence describes the concept","[49406, 4154, 320, 8721, 539, 19353, 8594, 267, 5764, 3905, 12412, 268, 14963, 24806, 320, 42662, 7048, 7356, 1630, 518, 18738, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""within</w>"", ""a</w>"", ""patch</w>"", ""of</w>"", ""dense</w>"", ""brush</w>"", "",</w>"", ""wag"", ""ging</w>"", ""household</w>"", ""-</w>"", ""companion</w>"", ""demonstrates</w>"", ""a</w>"", ""shaggy</w>"", ""gray</w>"", ""coat</w>"", ""around</w>"", ""the</w>"", ""shoulders</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,26,28,77,False
