representation,sample_index,candidate_id,slot_id,true_concept,predicted_cluster,matched_predicted_concept,facet,length_bin,generation_round,effective_token_length,description
fixed_suffix,0,slot_01__cat__r01__c001,slot_01,cat,1,fox,coat_color_texture,short,round_1,19,A retractable-clawed mouser reveals a warm orange coat with white patches.
fixed_suffix,1,slot_01__dog__r01__c002,slot_01,dog,3,dog,coat_color_texture,short,round_1,17,A panting ball retriever reveals a short golden coat with a pale chest.
fixed_suffix,2,slot_01__fox__r02__c083,slot_01,fox,1,fox,coat_color_texture,short,round_1,18,Warm russet fur beneath a pale throat defines a russet snowline hunter.
fixed_suffix,3,slot_01__bear__r04__c242,slot_01,bear,2,bear,coat_color_texture,short,round_1,15,Shaggy dark fur suited to cold woodland defines a towering honey seeker.
fixed_suffix,4,slot_02__cat__r01__c002,slot_02,cat,0,cat,coat_color_texture,short,round_2,18,A long-whiskered home companion has a smooth black coat reflecting window light.
fixed_suffix,5,slot_02__dog__r01__c001,slot_02,dog,3,dog,coat_color_texture,short,round_2,17,A floppy-eared home guardian shows white spotted hair across a sturdy back.
fixed_suffix,6,slot_02__fox__r01__c005,slot_02,fox,1,fox,coat_color_texture,short,round_2,16,Dense copper hair blending into autumn leaves defines a slender twilight forager.
fixed_suffix,7,slot_02__bear__r01__c002,slot_02,bear,2,bear,coat_color_texture,short,round_2,15,A heavy black coat covering broad shoulders identifies a towering honey seeker.
fixed_suffix,8,slot_03__cat__r05__c322,slot_03,cat,0,cat,coat_color_texture,medium,round_3,21,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light."
fixed_suffix,9,slot_03__dog__r02__c082,slot_03,dog,3,dog,coat_color_texture,medium,round_3,23,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders."
fixed_suffix,10,slot_03__fox__r02__c082,slot_03,fox,1,fox,coat_color_texture,medium,round_3,22,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.
fixed_suffix,11,slot_03__bear__r01__c002,slot_03,bear,1,fox,coat_color_texture,medium,round_3,26,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.
fixed_suffix,12,slot_04__cat__r02__c082,slot_04,cat,0,cat,coat_color_texture,long,round_4,29,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level."
fixed_suffix,13,slot_04__dog__r01__c002,slot_04,dog,3,dog,coat_color_texture,long,round_4,28,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear."
fixed_suffix,14,slot_04__fox__r01__c002,slot_04,fox,0,cat,coat_color_texture,long,round_4,29,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior."
fixed_suffix,15,slot_04__bear__r01__c001,slot_04,bear,2,bear,coat_color_texture,long,round_4,30,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level."
fixed_suffix,16,slot_05__cat__r01__c001,slot_05,cat,0,cat,coat_color_texture,long,round_5,31,"Short gray hair patterned by faint bands distinguishes retractable-clawed climber near a patch of dense brush, where the setting supports the behavior."
fixed_suffix,17,slot_05__dog__r01__c002,slot_05,dog,0,cat,coat_color_texture,long,round_5,31,"White spotted hair across a sturdy back distinguishes broad-pawed gate-watcher near a pale winter field, where the background preserves its outline."
fixed_suffix,18,slot_05__fox__r02__c083,slot_05,fox,1,fox,coat_color_texture,long,round_5,29,"A clear view shows bushy-tailed den-visitor with dense copper hair blending into autumn leaves, as the moment appears unstaged."
fixed_suffix,19,slot_05__bear__r01__c001,slot_05,bear,1,fox,coat_color_texture,long,round_5,30,"A clear view shows thick-furred cave-sleeper with thick cinnamon-colored hair across the torso, as surrounding plants provide scale."
